DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
02M124,2025-26,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
02M600,2025-26,1,HS,2025-09-12 0:00:00,DOE,,2020,1,0,,0,,1,COMPASS Afterschool - Workforce Readiness,0,0,2,1,10,81,262,11,272,1667
03M492,2025-26,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
04M038,2025-26,1,Elem,Prek-5,DOE,East Harlem,2019,1,1,,1,School-Based Residency,1,NYS Extended School Day School Violence Prevention,1,1,,,,,,,,
04M102,2025-26,1,Elem,3K-5,DOE,East Harlem,2023,1,1,Next Gen Community School,1,School-Based Residency; Career Development Program,0,,0,0,,,,,,,,
04M377,2025-26,1,Middle,2025-06-08 0:00:00,DOE,East Harlem,2015,1,1,,1,School-Based Residency,0,,0,1,,,,,,,,
05M194,2025-26,1,Elem,Prek-5,DOE,,2016,1,1,,1,School-Based Residency; Career Development Program,1,Beacon Program,1,0,,,,,,,,
06M005,2025-26,0,Elem,K-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
07X296,2025-26,1,Middle,2025-06-08 0:00:00,DOE,Morrisania,2008,1,1,,1,School-Based Residency,1,NYS Extended School Day School Violence Prevention,0,0,36,62,465,127,,153,465,244
07X379,2025-26,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
09X525,2025-26,1,HS,2025-09-12 0:00:00,DOE,,2020,1,1,,0,School-Based Residency,0,,0,0,16,75,339,15,61,80,400,394
10X225,2025-26,0,HS,2025-06-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
11X567,2025-26,0,Elem,K-5,DOE,,2025,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
12X286,2025-26,1,Middle,2025-06-08 0:00:00,DOE,,2018,1,1,,0,,0,,0,0,39,109,601,101,811,151,1412,274
12X463,2025-26,1,Elem,K-5,DOE,Morrisania,2019,1,1,OCS MH subcontract - East Side House,1,School-Based Residency,0,,1,0,26,76,777,87,,123,777,367
13K046,2025-26,1,Elem,Prek-5,DOE,Fort Greene,2023,1,1,,1,,0,,0,1,,,,,,,,198
13K067,2025-26,1,Elem,Prek-5,DOE,,2015,1,1,,1,School-Based Residency,0,,1,0,70,113,1277,187,1384,192,2661,196
14K018,2025-26,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
14K110,2025-26,0,Elem,Prek-6,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
14K126,2025-26,1,Middle,2025-06-08 0:00:00,DOE,,2016,1,1,OCS MH subcontract  - St. Nick's Alliance,1,School-Based Residency; Career Development Program,0,,0,1,,,,,,,,
