DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
18K637,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K642,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
18K763,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K007,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K013,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K065,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K089,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K108,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K149,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K158,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K159,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K171,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K190,2020-21,1,1 of 4 discipline,Music
19K214,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
19K218,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K224,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
19K273,2020-21,0,0 of 4 disciplines,
19K290,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K306,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
19K325,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K345,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K346,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
19K364,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K409,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K452,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K504,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K507,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K510,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K557,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K615,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K618,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K654,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K659,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K661,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K662,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K677,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K678,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
19K683,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K030,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K048,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K062,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K069,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K102,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
20K104,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
